id,name
2351,Studio Gadget
2352,Tryforce
2353,P core
2355,Alfred Imageworks
2356,Kung Fu Frog Animation
2358,Big Wing
2359,Aiko
2360,Amarcord
2361,Okumaza
2362,Aiti St.
2363,JOF
2365,MI
2366,Kigumi
2370,Hayabusa Film
2371,Planet Cartoon
2372,Flint Sugar
2374,Momoi Planning
2375,GAV Video
2379,Scooter Films
2387,Ga-Crew
2388,Ai Yume Mai
2389,G.P Entertainment
2390,Concept Films
2391,Sumomo Film
2392,Ishibashi Planning
2393,MB planning
2394,MoMo Production
2395,J.C.F.
2396,Joicy Studio
2397,Pink Cat
2398,VCRWORKS
2399,Eshoya Honpo
2400,Executive Decision
2401,YURUPPE Inc.
2403,Brians Film
2405,Staple Entertainment
2406,Eallin
2407,Flying Ship Studio
2409,Amineworks
2410,Gonzino
2411,Studio Massket
2412,FUNNY MOVIE
2413,AION Studio
2414,MontBlanc Pictures
2415,HuaMei Animation
2416,Kent House
2418,Imagica Digitalscape
2419,d00r works
2420,Tang Kirin Culture
2421,M&M
2424,Bandai Namco Filmworks
2429,STUDIO6'oN
2432,happyproject
2436,Frontier One
2437,Infinity Vision
2438,yell
2439,Chosen
2444,Hanho Heung-Up
2447,Youku
2449,Atorie A.B.C.
2450,C and R
2451,TEC
2452,Project Team Muu
2453,Kusama Art
2454,Ryuu M's
2455,East Fish Studio
2456,team Yamahitsuji
2457,Studio Ranmaru
2459,Studio Gazelle
2460,aNCHOR
2461,Twenty First
2463,Cloud Art
2469,HM Heros
2471,Wonder Cat Animation
2472,High Energy Studio
2474,Haneda xR Studio
2478,Oriental Creative Color
2482,Atti Production
2484,Gunners
2486,Blue Note
2487,Kyushu Network Animation
2488,J.K.I
2489,Tsubo Production
2490,Studio Dolphin Night
2491,Mikimoto Production
2492,Studio Jin
2493,Studio B&M
2494,Enzo Animation
2503,7doc
2508,Deck
2509,Colored Pencil Animation
2513,HMCH
2514,AIC Project
2520,Twilight Town
2521,Qiyuan Yinghua
2525,Hurray!
2526,Shenman Entertainment
2527,Liber
2528,Passion Paint Animation
2529,Xing Yi Kai Chen
2530,Blue bread
2534,studio YOG
2535,Uguisu Kobo
2540,Fever Creations
2541,SAMG Entertainment 
2544,Kami Kukan
2546,Studio Sota
2549,StudioXD
2550,ONIRO
2551,Animation 501
2552,C&S Production
2553,Garyuu Studio
2554,Gekkou
2555,Year Young Culture
2558,Delpic
2559,Guo Pengzi Studio
2560,Nekonigashi Inc.
2561,OTOIRO
2562,Studio Himalaya
2563,Studio Tumble
2564,Yamiken
2569,Yinhe Changxing Culture
2570,Ijigen Tokyo
2571,Griot Groove
2572,Adonero
2573,Watanabe Promotion
2574,Circus Production
2576,General Entertainment
2580,GUMBLAB
2586,D.ROCK-ART 
2591,Studio Pivote
2593,Angle
2595,TypeZero
2596,Comma Studio
2597,Wong Ping Animation Lab
2598,Bigcat Studio
2600,Cloud Hearts
2601,Sunflowers
2604,DC Impression Vision
2605,Tonari Animation
2611,Fantawild Animation
2612,Fengyun Animation
2613,Aurora Animation
2614,Chongzhuo Animation
2617,Tianshi Wenhua
2619,Quyue Technology
2622,Makaria
2623,Dyna Method
2624,Village Studio
2625,Square Pictures
2626,Studio D-Volt
2628,Xiaoming Taiji
2635,Escape Velocity Animation
2636,Qingxiang Culture
2638,Yien Animation Studio
2641,Locus Corporation
2642,E&H Production
2644,Kuai Ying Hu Yu
2645,Liyu Culture
2646,trenova
2647,Studio A. Craft
2648,Au Praxinoscope
2649,LB Commerce
2651,Stereotype
2652,Gravity Well
2656,UchuPeople
2657,NANON CREATIVE
2658,flag Co.
2660,UKA
2663,Rock'n Roll Mountain
2665,AMGA
2666,EOEO System
2667,Keyring
2669,THINGS.
2674,BUG FILMS
2676,Pmats9 studio
2677,Central Animation Studio
2678,Slow Studio
2679,cogitoworks
2682,Steamworks
2684,CHOCOLATE
2686,EDP graphic works
2688,Saber Project
2694,studio NAGURI
2695,SIGNIF
2696,100studio
2698,Voil
2701,CMC Media
2702,HuaDream
2703,Oyster
2705,TOHO animation STUDIO
2711,Miyu Productions
2712,Studio G7
2713,Infinity Animations
2714,evg
2715,Hand to Mouse.
2721,NHK Art
2722,Studio Fusion
2723,Unend
2724,Heart & Soul Animation
2725,CompTown
2728,New Deer
2729,CANON RECORDINGS
2737,Painted Blade Studio
2742,Studio N
2743,Shengguang Knight Culture
2746,Studio Vandal
2748,Sankaku
2749,Anime Tokyo
2750,Hu Po Donghua
2752,Youliao Studio
2753,Whatever Co.
2754,Contrail
2755,Congrong Film
2757,Caviar
2760,Studio Add
2761,ARCUS
2762,Studio Matomo
2764,Studio HUIT
2765,Bebow
2767,Euluca Lab
2773,Transistor Studio
2775,Production Wave
2778,Sasayuri
2779,Studio BAZOOKA
2781,Cloud Culture
2783,ANYZAC
2784,Medo
2785,Shikachan Studio
2787,Studio Lemon
2790,Hezmon Animation
2792,INTERFACEDOGS
2794,BUDDHA INC.
2802,Yudubai Animation
2804,Seoul Movie
2807,ABJ COMPANY
2809,PHANTOM
2810,Studio Yona
2812,Zuiyo
2813,Iconix Entertainment
2814,Image Studio 109
2818,qmotri
2819,soket
2820,maroyaka
2821,Fugaku
2822,Shykeumo Animation Studio
2824,Production HASU
2828,Studio Polon
2829,EOTA
2830,Artner
2831,uzupiyo Animation & Digital Works
2832,VROOOOM
2833,Sofix
2834,Hero
2835,ROLL2
2844,Imagica Infos
2846,Studio Bingo
2848,Taiko Studios
2850,SAFEHOUSE
2853,ASTROBROS.
2854,Volca
2855,Studio Moe
2857,CELAVIE
2858,Makino Production
2859,924 Studio
2860,CANOPUS
2861,KWANED
2863,Miota
2864,Windy Studio
2870,Alke
2875,Blaze Studio
2877,D'ART Shtajio
2878,Khaki
2879,Grayscale Arts
2880,ORCEN
2881,Andraft
2882,THREE IS A MAGIC NUMBER
2883,Atelier Tuki
2885,Group Creato
2888,Wang Film Productions
2891,A4A Inc.
2893,Gear Studio
2894,Konami animation
2895,Team OneOne
2897,MOJO Animation
2898,Manaa Animation
2906,Kobito
2907,Studio Placebo
2909,Teddy
2911,Studio Eight Color
2914,Creative House Pocket
2916,Reirs
2917,Soigne
2919,Le-joy Animation Studio
2921,Public Enemies
2928,Elias
2929,Studio Outrigger
2931,Buyuu
2933,Hutoon Animation
2934,studio2 Animation Lab
2936,G&G Direction
2938,3D Co.
2939,Studio Gale
2940,Ocon Studio
2944,Brick Studio
2945,Studio Goindol
2947,Tokyo TV Douga
2948,Nippon TV Douga
2950,studio ALBLE
2951,Pierrot Films
2953,Flying Monkeys Production
2954,Studio Button
2955,Sunny Gapen
2957,Particlefield
2967,Digital Dream Studios
2969,Mainichi Eigasha
2970,717 Animation Studio
2972,Cocktail Media
2977,BlueArc Animation Studios
2982,Ginga Teikoku
2983,Imageworks Studio
2985,Saber Works
